Trap,Site,latitude,longitude,elevmean,slopemean,d.roads,d.river,d.water.area,d.settlements,GFC30mean,GFC50mean,GFC75mean,GFC90mean,VCFmean,Contigmean,CWEDmean,DCADmean
12,RDSA,-2.49039,-64.61526,124.1488315,2.34541973,239728.4533,672.2305943,4981.236886,50620.04696,1,1,1,1,79,0.958705008,0,1.359509945
13,RDSA,-2.44547,-64.67551,105.0588957,1.91904565,247934.5938,45.3801355,4105.890416,43798.39131,1,1,1,1,78.19799315,0.958705008,0,1.359509945
14,RDSA,-2.44516,-64.63439,90.9161529,2.046911722,244845.7676,2472.992144,6647.766079,48371.04798,1,1,1,1,79,0.958705008,0,1.359509945
15,RDSA,-2.50099,-64.64214,122.6728167,2.243824065,240926.0299,742.1764454,1851.937631,47745.4612,1,1,1,1,77.08965979,0.958705008,0,1.359509945
16,RDSA,-2.47485,-64.62042,122.8096415,4.108293803,241378.3492,493.309975,5132.818368,49948.91217,1,1,1,1,75.5,0.941726856,0.066839005,1.414972141
17,RDSA,-2.44942,-64.64846,123.5302096,3.553504503,245560.5832,2079.778549,5681.556545,46796.3613,1,1,1,1,81.06416739,0.958705008,0,1.359509945
18,RDSA,-2.45619,-64.66284,115.8665019,2.269787643,246105.5322,373.0653552,4684.480305,45190.28916,1,1,1,1,82.5,0.958705008,0,1.359509945
19,RDSA,-2.50634,-64.61624,120.3953488,1.732976781,238515.2764,2252.607393,4766.607374,50672.3207,1,1,1,1,81,0.893364097,0.159268984,1.554110433
20,RDSA,-2.50333,-64.60247,124.7149938,2.612471886,237711.9654,2405.401634,6268.226448,52160.93483,1,1,1,1,80,0.958705008,0,1.359509945
21,RDSA,-2.46088,-64.62653,121.9581281,2.7930893,242974.3556,1629.723765,5649.585897,49230.90796,1,1,1,1,78,0.958705008,0,1.359509945
22,RDSA,-2.50923,-64.65899,131.8347719,3.516518542,241568.7865,1186.99527,673.1068188,45988.22394,1,1,1,1,77,0.958705008,0,1.359509945
23,RDSA,-2.47167,-64.65794,108.32134,3.538645641,244486.6028,0,3064.099153,45765.58679,1,1,1,1,78.5,0.958705008,0,1.359509945
24,RDSA,-2.53512,-64.6375,160.4154412,2.244769639,237849.9768,4225.198738,2325.526053,48786.09952,1,1,1,1,78,0.958705008,0,1.359509945
25,RDSA,-2.46281,-64.64505,121.0906863,2.538233167,244218.3934,1541.240111,4382.395964,47173.85763,1,1,1,1,76,0.958705008,0,1.359509945
26,RDSA,-2.43277,-64.64622,109.739777,1.749988724,246744.7974,2840.678799,7138.521215,47112.55465,1,1,1,1,78.91255414,0.958705008,0,1.359509945
27,RDSA,-2.48358,-64.58757,117.8388684,2.254744743,238197.2776,124.1902396,8151.386178,53644.54888,1,1,1,1,78,0.958705008,0,1.359509945
28,RDSA,-2.43888,-64.61612,157.9679408,4.216477351,243992.1943,418.5045331,8280.79883,50424.59584,1,1,1,1,82.5,0.810072845,0.353447903,1.799587324
29,RDSA,-2.48527,-64.6058,127.4538745,3.24308523,239428.7259,403.1834756,6142.367632,51631.49407,1,1,1,1,84,0.958705008,0,1.359509945
30,RDSA,-2.45346,-64.61049,114.4220297,1.936671085,242376.526,0,7475.812869,51013.78135,1,1,1,1,79.5,0.958705008,0,1.359509945
31,RDSA,-2.46825,-64.60694,115.4378844,4.349963219,240901.1989,142.9316237,6790.757292,51423.4923,1,1,1,1,79.853606,0.958705008,0,1.359509945
32,RDSA,-2.51885,-64.58644,88.41738066,2.03207322,235241.2411,2655.692419,8261.358633,54126.52201,1,1,1,1,79,0.958705008,0,1.359509945
33,RDSA,-2.45004,-64.69112,97.65432099,2.100004811,248762.7849,1803.477839,2561.428822,42051.173,1,1,1,1,80,0.958705008,0,1.359509945
34,RDSA,-2.42136,-64.61189,121.4495074,1.630587826,245120.9151,0,10156.56985,51006.13815,1,1,1,1,80,0.958705008,0,1.359509945
35,RDSA,-2.48155,-64.55707,131.5153752,1.52408375,236095.9399,254.395299,11517.29851,57020.34046,1,1,1,1,77,0.958705008,0,1.359509945
36,RDSA,-2.46154,-64.59065,89.47542998,2.235677355,240234.622,1805.380088,8729.819805,53221.90615,1,1,1,1,77,0.958705008,0,1.359509945
37,RDSA,-2.44563,-64.59384,124.1342365,1.641589562,241781.7786,1626.371289,9435.92113,52878.33259,1,1,1,1,78.5,0.958705008,0,1.359509945
38,RDSA,-2.5155,-64.56691,104.3189122,4.262405525,234041.2249,508.9488055,10261.38288,56237.43117,1,1,1,1,80,0.867060365,0.220515297,1.632769574
39,RDSA,-2.49871,-64.56777,116.7261614,3.388097495,235478.5413,38.69084061,10126.46084,55957.54121,1,1,1,1,80.5,0.958705008,0,1.359509945
40,RDSA,-2.4825,-64.57002,95.80321782,4.15327144,236977.2241,424.1841089,10083.48601,55587.1653,1,1,1,1,76,0.958705008,0,1.359509945
41,RDSA,-2.4203,-64.58886,91.69050555,1.763544024,243513.5188,717.4292849,11785.75224,53569.05683,1,1,1,1,84,0.786796458,0.407530703,1.869322668
42,RDSA,-2.43391,-64.58167,133.7722772,1.636791491,241854.8297,2154.398845,11305.86806,54276.03829,1,1,1,1,79,0.958705008,0,1.359509945
43,RDSA,-2.42909,-64.59872,138.2130542,1.840361399,243509.1208,720.3825165,10331.55199,52410.13562,1,1,1,1,82.99414341,0.958705008,0,1.359509945
44,RDSA,-2.451,-64.57777,128.6752768,1.780483547,240150.6379,1893.80775,10553.88521,54655.144,1,1,1,1,79.5,0.958705008,0,1.359509945
45,RDSA,-2.46391,-64.55849,105.4071341,1.585439272,237661.3866,56.4080797,11879.7914,56801.52087,1,1,1,1,76,0.958705008,0,1.359509945
46,RDSA,-2.44738,-64.56175,125.6493827,1.806592322,239274.6593,465.2857968,12300.87761,56442.5516,1,1,1,1,83.5,0.958705008,0,1.359509945
47,RDSA,-2.46702,-64.57419,108.4561187,2.111803569,238562.0132,1284.030998,10125.01976,55061.73348,1,1,1,1,79,0.958705008,0,1.359509945
48,RDSA,-2.50104,-64.58652,126.3985149,2.820863073,236693.5843,1898.685379,8037.56706,53902.68122,1,1,1,1,81,0.958705008,0,1.359509945
49,RDSA,-2.42595,-64.62764,116.6535627,3.580623753,245912.0294,1523.746064,8873.428171,49222.14216,1,1,1,1,81,0.958705008,0,1.359509945
50,RDSA,-2.43924,-64.56306,139.1551724,2.362268871,240048.8665,1239.507085,12628.76494,56320.44268,1,1,1,1,76.24017966,0.958705008,0,1.359509945
1012,REMJ,-5.4492,-67.26968,102.8947368,2.172173364,330742.3815,530.0093768,5355.719206,40500.96021,1,1,1,1,80.5,0.958705008,0,1.359509945
1013,REMJ,-5.452811401,-67.26511938,101.4230769,4.106136217,331358.7689,1028.996506,5906.857645,40810.06653,1,1,1,1,78.66666667,0.958705008,0,1.359509945
1014,REMJ,-5.46539926,-67.25204838,101.1428571,1.918855,333215.3151,1330.139253,7753.650545,41982.71216,1,1,1,1,81,0.958705008,0,1.359509945
1015,REMJ,-5.480104471,-67.23177373,119.734375,2.072370527,334834.4366,0,10233.74145,43388.86431,1,1,1,1,81,0.958705008,0,1.359509945
1021,REMJ,-5.526281549,-67.33889907,106.0153846,1.860852301,326798.9496,760.0808106,8237.398625,50628.55022,1,1,1,1,82,0.900915232,0.244833105,1.566891413
1022,REMJ,-5.524045425,-67.33739653,105.8730159,1.6802426,326856.5272,960.4071419,8028.935493,50342.7566,1,1,1,1,82.20221165,0.947292645,0.052202596,1.39749997
1023,REMJ,-5.519919684,-67.33262094,104.4094488,2.125345825,327168.7272,1555.629456,7721.156041,49752.28414,1,1,1,1,80.81962969,0.958705008,0,1.359509945
1024,REMJ,-5.508128107,-67.31938834,100.648855,2.212255891,328024.9181,2473.865691,7042.638067,48093.13683,1,1,1,1,74.66666667,0.958705008,0,1.359509945
1025,REMJ,-5.503427535,-67.29953639,104.2868217,2.417999049,329867.8901,267.7045095,7936.178418,47052.9916,1,1,1,1,80.65444378,0.958705008,0,1.359509945
1031,REMJ,-5.390645,-67.211257,95.37795276,2.526908995,334584.7169,1404.847313,3988.326741,33379.10927,1,1,1,1,70.7759728,0.360211056,53.61122915,23.44879785
1032,REMJ,-5.393206431,-67.21041933,92.71544715,1.542065657,334767.4062,1522.15897,4268.159611,33661.21301,1,1,1,1,81,0.580681507,19.32149655,9.170594614
1033,REMJ,-5.39830137,-67.20735859,98.49230769,2.183940748,335277.1811,1410.202332,4923.204382,34221.72855,1,1,1,1,72.5,0.958705008,0.00027475,1.359509945
1034,REMJ,-5.413713595,-67.19813322,115.8984375,3.043231498,336266.8738,401.047714,6907.328021,35937.58326,1,1,1,1,80,0.958705008,0,1.359509945
1035,REMJ,-5.435067499,-67.18179957,111.8294574,2.948394478,333386.1904,539.6453334,9887.950968,38383.68119,1,1,1,1,81,0.645599335,0.489724629,2.254659669
1041,REMJ,-5.384524371,-67.1915173,99.65354331,4.946791131,336427.3997,348.1425646,5208.941928,32729.00834,1,1,1,1,80.5,0.780330394,2.524454105,1.838777736
1042,REMJ,-5.384117011,-67.18859696,105.0152672,3.784728671,336718.7001,647.8956795,5317.973632,32700.57065,1,1,1,1,78.33333333,0.908909961,0.396801642,1.504541454
1043,REMJ,-5.381030794,-67.1834876,110.8661417,2.517362174,337141.9934,1163.924579,5258.999259,32396.31943,1,1,1,1,81,0.958705008,0,1.359509945
1044,REMJ,-5.380076766,-67.1652951,112.4,1.775750575,335691.7292,497.0240173,6412.346698,32504.23599,1,1,1,1,82,0.958705008,0,1.359509945
1045,REMJ,-5.378753347,-67.13827654,112.9461538,1.719519392,333439.5618,653.8979182,8646.867918,32900.19733,1,1,1,1,81.82115217,0.958705008,0,1.359509945
1051,REMJ,-5.315440055,-67.44457969,94.27868852,3.755102702,307366.0266,108.0703928,3406.672766,36471.82838,1,1,1,1,80.33333333,0.937230157,0.134211,1.464087212
1052,REMJ,-5.315474672,-67.44822457,101.796875,2.471001204,306985.9843,420.2808868,3805.864602,36769.24748,1,1,1,1,80.5,0.958705008,0,1.359509945
1053,REMJ,-5.31607247,-67.45405141,104.1692308,2.412398244,306398.9106,938.8773809,4041.63213,37289.52917,1,1,1,1,76,0.958705008,0,1.359509945
1054,REMJ,-5.316146063,-67.47223662,99.96992481,2.466710281,304500.6332,665.0130163,3395.61807,38809.35809,1,1,1,1,71,0.958705008,0,1.359509945
1061,REMJ,-5.409574863,-67.53758018,101.2913386,2.574960421,301449.2792,1251.687104,6414.676621,51155.65368,1,1,1,1,80,0.25457994,50.90928492,4.139392375
1062,REMJ,-5.409404291,-67.54009349,102.5769231,2.470086424,301183.612,1048.542504,6569.620501,51343.81179,1,1,1,1,80.66666667,0.378739147,35.35760632,4.112439017
1063,REMJ,-5.408396618,-67.54609368,102.0230769,2.344617271,300524.2084,686.371031,6922.612796,51750.79085,1,1,1,1,82,0.801663262,2.560373217,2.150297452
1064,REMJ,-5.400928678,-67.55513951,95.0952381,3.504937384,299280.1831,528.9603231,7121.66026,51933.30201,1,1,1,1,77,0.958705008,0,1.359509945
1065,REMJ,-5.396118639,-67.55341602,93.82307692,4.119068485,299256.3672,1060.713837,6657.319932,51435.93158,1,1,1,1,81,0.958705008,0,1.359509945
2011,REMJ,-5.067483243,-66.81652847,84.2265625,3.303779378,330880.7599,1387.585423,2186.359522,20530.07534,1,1,1,1,59,0.750004157,6.934799525,3.146981973
2012,REMJ,-5.067845592,-66.81375213,89.015625,2.170030929,330642.2447,1694.126916,2489.305051,20713.79084,1,1,1,1,65.5,0.855239925,3.20818999,2.167389753
2013,REMJ,-5.068245744,-66.80840783,102.4351145,4.841609715,330207.7145,1419.341272,3061.856128,21047.45588,1,1,1,1,64,0.882604602,0.5026123,1.688881364
2014,REMJ,-5.069271522,-66.79008599,99.953125,4.43132337,328750.1815,0,5053.382044,22242.9004,1,1,1,1,80.5,0.958705008,0,1.359509945
2015,REMJ,-5.070781857,-66.76776222,105.6259542,4.323133871,326961.2367,2219.429579,7518.832828,23876.68972,1,1,1,1,79,0.956402877,0,1.359509945
2021,REMJ,-5.134188691,-66.86803233,98.00740741,4.747694772,329453.9788,0,5492.628159,25745.17993,1,1,1,1,77,0.352548261,20.58343615,13.47320337
2022,REMJ,-5.136741484,-66.86731811,98.75968992,4.133862065,329196.1072,45.20077807,5778.899277,26037.06366,1,1,1,1,78.91607727,0.56173455,8.6048565,6.557943484
2023,REMJ,-5.143603329,-66.86516329,113.5193798,5.140618218,328485.0025,96.79560109,6553.793179,26826.13514,1,1,1,1,82,0.958705008,0,1.359509945
2024,REMJ,-5.156607348,-66.85436874,112.5572519,6.042553084,326616.6365,1.620190147,8157.144954,28460.65444,1,1,1,1,79.25,0.958705008,0,1.359509945
2031,REMJ,-5.056823306,-67.12297194,91.03149606,3.411579047,333660.6519,1009.748816,0,9562.763944,1,1,0.975,0.9625,75,0.281982304,45.57755025,26.25564713
2032,REMJ,-5.05641737,-67.12546488,92.68461538,2.573653486,333380.5643,1095.835154,0,9320.344604,1,1,1,1,74.91256993,0.341750164,25.63947799,16.55064852
2033,REMJ,-5.048740972,-67.12673784,103.6456693,3.931768907,333053.2111,445.3078469,211.2103926,9537.507276,1,1,1,1,79,0.812166377,2.324647736,2.447654492
2034,REMJ,-5.031871889,-67.13234634,97.84251969,3.067110236,332035.5702,498.6537564,2178.312067,9996.104652,1,1,1,1,74,0.958705008,0,1.359509945
2035,REMJ,-5.003631329,-67.11545991,102.7131783,2.273179808,333208.1676,608.8785711,5249.348206,13456.20804,1,1,1,1,77.66666667,0.954543918,0.035133001,1.375775189
2041,REMJ,-5.04786456,-67.13514053,104.5275591,2.286330506,332121.0803,1245.240121,871.7458944,8757.263942,1,1,1,1,72,0.759729804,6.773563413,2.664743556
2042,REMJ,-5.045718206,-67.13632582,103.7692308,1.826167836,331939.926,1292.480891,1123.215716,8763.679206,1,1,1,1,73.33333333,0.814656351,3.805575503,2.146234918
2043,REMJ,-5.039968137,-67.13839187,104.9846154,2.319073608,331575.5029,1323.921941,1741.205002,8922.338379,1,1,1,1,75,0.958705008,0,1.359509945
2044,REMJ,-5.022513662,-67.14225224,100.7744361,1.944550338,330737.0789,1295.782977,2073.397579,9865.084258,1,1,1,1,79,0.958705008,0,1.359509945
2051,REMJ,-5.061421115,-67.1668937,96.09230769,6.252381866,329021.1326,4211.060997,0,4963.824779,0.9625,0.9625,0.9625,0.95,74.5,0.558630128,31.43017987,6.523750046
2052,REMJ,-5.058816187,-67.16824553,100.7923077,2.676618015,328808.9746,4332.435732,0,5013.154258,1,1,1,1,80,0.701335857,11.92483451,3.527150975
2053,REMJ,-5.054794298,-67.17267352,104.0077519,1.981454917,328228.3956,4301.881067,349.8978526,4943.63539,1,1,1,1,81.33333333,0.896760689,0.916118064,1.574168009
2054,REMJ,-5.041940063,-67.18503373,102.6240602,2.54890906,326569.0276,3638.922232,948.4048786,5352.808859,1,1,1,1,80,0.73225631,13.75209966,3.255768593
2055,REMJ,-5.015868573,-67.19642607,105.7067669,1.504477152,324698.4641,2510.838434,2092.891377,7829.111953,1,1,1,1,80.5,0.958705008,0,1.359509945
2061,REMJ,-5.066099139,-67.21434114,104.8769231,2.775987293,324010.4692,0,0,2406.418184,1,1,1,1,80,0.863852349,2.371051962,1.910366568
2062,REMJ,-5.063801911,-67.2125428,100.4076923,3.189728343,324145.4155,65.76318569,214.7701501,2576.966684,1,1,1,1,81.33333333,0.931185904,0.307377425,1.50126554
2063,REMJ,-5.059378361,-67.208594,101.5384615,1.617648527,324458.5694,536.7637993,720.8021682,2969.13766,1,1,1,1,80,0.958705008,0,1.359509945
2064,REMJ,-5.039686672,-67.21075494,104.778626,1.915329214,323727.0414,848.1492288,1274.428459,5164.705847,1,1,1,1,82.52451002,0.958705008,0,1.359509945
2065,REMJ,-5.012410618,-67.21493701,99.12307692,2.09760049,322606.7455,458.2934801,3876.688167,8222.391192,1,1,1,1,74.79001149,0.958705008,0,1.359509945
2071,REMJ,-5.089116599,-67.22625098,99.34615385,2.866310338,323331.9784,1810.707591,2297.861637,2142.386455,1,1,1,1,77,0.500568358,23.70764406,3.228489518
2072,REMJ,-5.091383234,-67.22725748,103.4135338,2.995334782,323284.409,2045.737926,2564.403277,2284.189172,1,1,1,1,79.5,0.611325369,14.11175481,2.888106346
2073,REMJ,-5.09653559,-67.23017346,105.2222222,1.913874725,323109.4492,2097.921208,2739.29947,2739.011395,1,1,1,1,81,0.89644465,0.726615984,1.565947705
2074,REMJ,-5.111075593,-67.24068596,99.16923077,3.241513471,322376.7463,602.9197372,1683.030511,4513.873156,1,1,1,1,77.5,0.958705008,0,1.359509945
2081,REMJ,-5.218394129,-67.35257364,101.1136364,2.064404247,313662.3757,755.8245154,3299.903675,21661.75563,1,1,1,1,73.5,0.482425063,24.36797585,11.14877023
2082,REMJ,-5.218003029,-67.35504244,101.6969697,1.805681788,313387.4522,1033.325595,3231.134466,21839.47791,1,1,1,1,77,0.700464917,8.344666974,4.311001115
2083,REMJ,-5.21943449,-67.3606227,102.9618321,1.67246862,312842.1632,1451.001277,2908.601808,22413.66182,1,1,1,1,78.33333333,0.958705008,0,1.359509945
2084,REMJ,-5.222752215,-67.37929607,101.5193798,2.110241415,310971.0954,2314.233018,2820.606788,24258.82205,1,1,1,1,80.33333333,0.958705008,0,1.359509945
2091,REMJ,-5.151759926,-67.31746872,105.4461538,2.285783386,315312.5554,1035.897347,3386.533039,14152.88705,1,1,1,1,78,0.958705008,0,1.359509945
2092,REMJ,-5.15324763,-67.31991255,106.0930233,2.055748965,315095.7863,730.9313452,3684.506986,14470.50659,1,1,1,1,76.5,0.958705008,0,1.359509945
2093,REMJ,-5.153938467,-67.32581131,107.7846154,1.718382279,314485.646,260.8031892,4342.312735,15080.71069,1,1,1,1,78.66666667,0.958705008,0,1.359509945
2094,REMJ,-5.157016469,-67.34342295,108.5153846,1.942349618,312696.0894,915.7728231,6329.00584,16974.14589,1,1,1,1,76.33333333,0.958705008,0,1.359509945
2095,REMJ,-5.155905783,-67.36482899,100.265625,3.980673951,310375.0646,732.4633451,8660.490066,19081.74488,1,1,1,1,76.5,0.958705008,0,1.359509945
2101,REMJ,-5.335202487,-67.17934853,89.45736434,3.078026678,335944.1285,626.5481763,2337.724639,27378.05558,1,1,1,1,57.56872855,0.300795828,30.83268634,17.62610104
2102,REMJ,-5.335867088,-67.17750217,81.81954887,4.835171521,336162.0009,550.8398475,2555.658236,27473.52221,1,1,1,0.95,58,0.260941192,43.67565114,22.86430853
3011,REMJ,-4.755347036,-66.980998,92.75968992,3.322130777,343473.8355,356.2604231,13949.482,16218.95179,0.987654321,0.956790123,0.938271605,0.925925926,61.5,0.629474611,27.08932645,6.544635608
3012,REMJ,-4.754771031,-66.98346798,94.52307692,2.843902982,343193.5993,633.4862335,14231.32056,16429.9537,1,1,0.993865031,0.987730061,74.33333333,0.651064008,18.31760054,5.205123746
3013,REMJ,-4.753379971,-66.98937597,96.51538462,3.209157755,342523.1275,1296.660725,14905.82707,16944.19574,0.987654321,0.987654321,0.987654321,0.987654321,78,0.748714774,3.067606431,2.870670485
3014,REMJ,-4.748765985,-67.00677001,97.50793651,1.975137027,340542.3883,411.0155273,16905.7635,18561.4035,1,1,1,1,81,0.935664456,0.191834296,1.460864331
3015,REMJ,-4.737394005,-67.03123,98.15748032,2.13159214,337694.1225,1379.737012,19858.79968,21331.69008,1,1,1,1,78,0.958705008,0,1.359509945
3021,REMJ,-4.802850969,-66.94209198,96.72440945,2.783101179,348429.4429,1885.790294,9358.962499,9440.581092,1,1,1,1,73,0.645270484,22.03645526,5.594059726
3022,REMJ,-4.80113796,-66.94020102,97.90769231,2.692553009,348612.5484,2150.228526,9118.661635,9494.724731,1,1,1,1,72,0.757379501,9.978982654,3.4856024
3023,REMJ,-4.796578037,-66.93700399,96.86923077,2.08844126,348898.2408,1770.970974,8692.339441,9768.570071,1,1,1,1,74,0.943256247,0.183806991,1.436539279
3024,REMJ,-4.781778026,-66.92666098,98.92248062,2.64483769,349827.7644,635.0057885,7494.684349,10844.82052,1,1,1,1,78.66666667,0.92284247,0.32992302,1.525401335
3025,REMJ,-4.760219017,-66.90959902,97.78461538,2.233416788,351418.1825,2248.67465,6285.518979,12787.43818,1,1,1,1,74.5,0.958705008,0,1.359509945
3031,REMJ,-4.83839904,-66.968587,101.4846154,2.158860237,346062.0393,179.9225822,9072.322364,8900.531632,1,1,1,1,68,0.482602517,36.45828566,6.20292213
3032,REMJ,-4.839541996,-66.97096696,99.93650794,2.192815651,345818.7959,274.4268791,9175.546604,9078.562559,1,1,1,1,72.25,0.541127035,26.40333659,5.138338079
3033,REMJ,-4.839363964,-66.97762001,99.7734375,2.544077666,345084.3753,835.1237754,9742.541268,9754.195926,1,1,1,1,76.66666667,0.948856788,0.043329181,1.39329474
3034,REMJ,-4.843868986,-66.99545897,97.9379845,1.903404844,343196.8184,2265.063486,11041.42182,11420.0004,1,1,1,1,78.5,0.874146145,0.613056112,1.772094707
3035,REMJ,-4.848261019,-67.02147103,93.96946565,1.7050217,340411.1387,1507.333355,13312.77275,14041.70599,1,1,1,1,81,0.958705008,0,1.359509945
3041,REMJ,-4.924456039,-66.98470599,101.5037037,3.339053386,345812.7162,0,7516.237113,8905.994694,0.99375,0.99375,0.99375,0.9875,78,0.373628236,31.08898461,14.2983578
3042,REMJ,-4.92290698,-66.98684497,102.1023622,2.309711607,345548.893,253.9357491,7726.224117,9094.016521,1,1,1,1,77.5,0.56549902,15.08778303,7.51328383
3043,REMJ,-4.919029009,-66.99091304,103.2265625,1.432520616,345029.5074,640.5771909,8129.952062,9447.210837,1,1,1,1,75,0.931788347,0.214274344,1.456810412
3044,REMJ,-4.908539979,-67.00650003,99.28682171,2.270989402,343124.3013,1495.557036,9852.629508,11031.29858,1,1,1,1,79.5,0.958705008,0,1.359509945
3045,REMJ,-4.891946996,-67.02772401,99.35877863,2.483708,340490.959,3637.038628,12423.89096,13430.63231,1,1,1,1,81.5,0.958705008,0,1.359509945
3051,REMJ,-4.784227973,-66.85410303,93.78625954,4.211982197,357243.6328,769.4899315,0,11056.18314,1,1,1,1,65.25,0.918256069,0.731205584,1.615687415
3052,REMJ,-4.781476026,-66.85360699,93.76153846,4.07895946,357442.7803,566.7617885,188.5259799,11356.55113,1,1,1,1,70,0.889645995,0.178794636,1.564717575
3053,REMJ,-4.775422029,-66.85316602,83.672,4.699083601,357847.1302,134.9521774,851.5455204,11990.42609,1,1,1,1,76.51233242,0.507602546,1.328384006,2.881017913
3054,REMJ,-4.757908965,-66.84787704,87.00787402,2.884058552,358201.4982,157.9696276,2805.035591,14007.30383,1,1,1,1,74.5,0.426386926,1.815439841,3.593660931
3055,REMJ,-4.731949959,-66.84216661,90.63358779,3.021392827,358512.0288,1581.421242,5696.683118,16916.94434,1,1,1,1,78.0778887,0.958725845,0,1.359509945
3061,REMJ,-6.012667967,-67.88104199,102.1550388,2.78981958,301333.3192,276.9719117,2375.267498,61895.40479,1,1,1,1,65.18755813,0.522827816,20.37046478,8.872792708
3062,REMJ,-6.010640971,-67.88297703,102.2153846,2.4047262,301026.3454,477.0309664,2494.224993,61928.04374,1,1,1,1,78.91157795,0.68796169,10.17410685,5.162350057
3063,REMJ,-6.018370008,-67.88779797,106.6969697,1.935726332,301116.2143,1099.288281,3208.695521,60927.48335,1,1,1,1,82,0.746974314,0.86483687,2.108318534
3064,REMJ,-6.033017971,-67.89895697,107.9769231,1.657345301,301117.7704,1826.748948,3799.843095,58886.46178,1,1,1,1,80,0.958705008,0,1.359509945
3065,REMJ,-6.051808018,-67.91092901,108.9603175,1.676175029,301345.0968,1284.14412,3180.416057,56437.93936,1,1,1,1,80,0.958720331,0,1.359509945
3071,REMJ,-5.972411027,-67.75516299,98.8125,1.902599991,309637.9453,1274.101969,4937.000043,74759.77848,1,1,1,1,76.5,0.958705008,0,1.359509945
3072,REMJ,-5.972767007,-67.75235899,99.65625,1.892665749,309558.0797,1580.979991,5248.849401,74958.03951,1,1,1,1,76,0.958705008,0,1.359509945
3073,REMJ,-5.972660976,-67.74678703,94.712,1.984046904,309489.7345,2165.680444,5867.458676,75416.06735,1,1,1,1,73.5,0.958705008,0,1.359509945
3074,REMJ,-5.97278201,-67.72846897,123.5078125,5.286661263,309221.9273,2678.506272,7901.750314,76902.70441,1,1,1,1,78.77669243,0.958705008,0,1.359509945
3075,REMJ,-5.968199037,-67.701552,145.8360656,2.853647873,309376.8848,105.9520456,10819.31715,79476.55336,1,1,1,1,80.5,0.949393897,0.048954445,1.392105354
3081,REMJ,-5.88993201,-67.86502199,109.7769231,4.651400707,294804.1597,2605.219323,228.0143955,73795.99762,0.969135802,0.956790123,0.956790123,0.950617284,79.5,0.323265878,30.65312799,12.75128909
3082,REMJ,-5.887496984,-67.86651598,112.4186047,3.29247305,294514.0373,2298.337469,254.1188255,73924.71703,1,1,1,1,80,0.531897967,12.95896344,6.490466838
3083,REMJ,-5.882849973,-67.870761,113.5714286,2.953959092,293833.0508,1601.069598,708.1415091,74087.15675,1,1,1,1,81,0.952273668,0.029427689,1.378523952
3084,REMJ,-5.866069989,-67.87761597,110.0384615,1.656746306,292151.055,189.4559861,2001.257989,75227.74525,1,1,1,1,81.1424729,0.947727621,0.030406268,1.390622884
3085,REMJ,-5.84161696,-67.88770401,109.1832061,1.816866784,289698.3432,2946.132012,3671.48294,76948.21504,1,1,1,1,79.69327172,0.958705008,0,1.359509945
3091,REMJ,-5.75853101,-67.73392601,97.30534351,2.582203977,299185.3714,2920.24454,3296.269757,94136.38739,1,1,1,1,78,0.360062161,47.82569256,16.15581346
3092,REMJ,-5.759695005,-67.73131102,100.8615385,2.611112894,299501.0528,3185.923918,3047.874586,94207.71575,1,1,1,1,76,0.408273891,40.98716575,9.932150191
