,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
275,0,0,0,0,0,0,1,12,12,7
276,0,0,0,0,0,0,1,12,12,7
277,0,0,0,0,0,0,1,12,12,7
278,0,0,0,0,0,0,0,12,12,8
279,0,0,0,0,0,0,0,12,12,8
280,0,0,0,0,0,0,0,12,12,8
281,0,0,0,0,0,0,0,12,12,8
282,0,0,0,0,0,0,0,12,12,8
283,0,0,0,0,0,7,12,12,0,0
284,0,0,0,0,0,7,12,12,0,0
285,0,0,0,0,0,7,12,12,0,0
286,0,0,0,0,0,7,12,12,0,0
287,0,0,0,0,0,7,12,12,0,0
288,0,0,0,0,0,6,12,12,1,0
289,0,0,0,0,0,6,12,12,1,0
290,0,0,0,0,0,6,12,12,1,0
291,0,0,0,0,0,6,12,12,1,0
292,0,0,0,0,0,6,12,12,1,0
293,0,0,0,0,0,5,12,12,2,0
294,0,0,0,0,0,5,12,12,2,0
295,0,0,0,0,0,5,12,12,2,0
296,0,0,0,0,0,5,12,12,2,0
297,0,0,0,0,0,5,12,12,2,0
298,0,0,0,0,0,4,12,12,3,0
299,0,0,0,0,0,4,12,12,3,0
300,0,0,0,0,0,4,12,12,3,0
301,0,0,0,0,0,4,12,12,3,0
302,0,0,0,0,0,4,12,12,3,0
303,0,0,0,0,0,3,12,12,4,0
304,0,0,0,0,0,3,12,12,4,0
305,0,0,0,0,0,3,12,12,4,0
306,0,0,0,0,0,3,12,12,4,0
307,0,0,0,0,0,3,12,12,4,0
308,0,0,0,0,0,2,12,12,5,0
309,0,0,0,0,0,2,12,12,5,0
310,0,0,0,0,0,2,12,12,5,0
311,0,0,0,0,0,2,12,12,5,0
312,0,0,0,0,0,1,12,12,6,0
313,0,0,0,0,0,1,12,12,6,0
314,0,0,0,0,0,1,12,12,6,0
315,0,0,0,0,0,1,12,12,6,0
316,0,0,0,0,0,1,12,12,6,0
317,0,0,0,0,0,0,11,12,8,0
318,0,0,0,0,0,0,11,12,8,0
319,0,0,0,0,0,0,11,12,8,0
320,0,0,0,0,0,0,11,12,8,0
321,0,0,0,0,0,0,11,12,8,0
322,0,0,0,0,0,0,10,12,9,0
323,0,0,0,0,0,0,10,12,9,0
324,0,0,0,0,0,0,10,12,9,0
325,0,0,0,0,0,0,9,12,12,12
326,0,0,0,0,0,0,9,12,12,12
327,0,0,0,0,0,0,9,12,12,12
328,0,0,0,0,0,0,9,12,12,12
329,0,0,12,12,12,12,12,12,12,7
330,12,12,12,12,12,12,1,0,0,0
331,0,0,12,12,12,12,12,12,12,7
332,12,12,12,12,12,12,1,0,0,0
333,0,0,11,12,12,12,12,12,12,6
334,12,12,12,12,12,12,1,0,0,0
335,0,0,7,12,12,12,12,12,12,11
336,12,12,12,12,12,12,1,0,0,0
337,0,0,10,12,12,12,12,12,12,8
338,12,12,12,12,12,12,1,0,0,0
339,0,0,11,12,12,12,12,12,12,8
340,12,12,12,12,12,12,0,0,0,0
341,0,0,8,12,12,12,12,12,12,12
342,12,12,12,12,12,12,2,0,0,0
343,0,0,10,12,12,12,12,12,12,9
344,12,12,12,12,12,12,0,0,0,0
