,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
468,ZF2,CT-MAS-2-26,811012.961,9710360.853,NA,NA,NA,NA,0,0,0,1,NA,NA
469,ZF2,CT-MAS-2-27,807067.687,9710364.065,NA,NA,NA,NA,0,0,0,0,NA,NA
470,ZF2,CT-MAS-2-28,808061.547,9709375.869,NA,NA,NA,NA,0,0,0,0,NA,NA
471,ZF2,CT-MAS-2-29,809038.641,9710363.03,NA,NA,NA,NA,0,0,1,0,NA,NA
472,ZF2,CT-MAS-2-30,808049.225,9711354.543,NA,NA,NA,NA,0,0,0,0,NA,NA
473,DUCKE,CT-MAS-3-1,836933.359,9675935.179,0,0,0,0,0,0,NA,NA,NA,NA
474,DUCKE,CT-MAS-3-10,838827.844,9673213.696,0,0,0,0,0,0,NA,NA,NA,NA
475,DUCKE,CT-MAS-3-11,840843.163,9673581.186,1,0,0,0,0,0,NA,NA,NA,NA
476,DUCKE,CT-MAS-3-12,842821.116,9673700.805,0,0,0,1,0,0,NA,NA,NA,NA
477,DUCKE,CT-MAS-3-13,838137.904,9672009.065,0,0,0,0,0,0,NA,NA,NA,NA
478,DUCKE,CT-MAS-3-14,840029.236,9672220.811,0,0,0,0,0,0,NA,NA,NA,NA
479,DUCKE,CT-MAS-3-15,841998.99,9672607.214,0,0,0,0,0,0,NA,NA,NA,NA
480,DUCKE,CT-MAS-3-16,843947.443,9672921.705,0,0,0,0,0,0,NA,NA,NA,NA
481,DUCKE,CT-MAS-3-17,839273.915,9671124.839,0,0,0,0,0,0,NA,NA,NA,NA
482,DUCKE,CT-MAS-3-18,841208.05,9671519.08,0,0,0,0,0,0,NA,NA,NA,NA
483,DUCKE,CT-MAS-3-19,843131.703,9671730.687,0,0,0,0,0,0,NA,NA,NA,NA
484,DUCKE,CT-MAS-3-2,838947.302,9676206.444,0,0,0,0,0,0,NA,NA,NA,NA
485,DUCKE,CT-MAS-3-20,845138.109,9672070.447,0,0,0,0,0,0,NA,NA,NA,NA
486,DUCKE,CT-MAS-3-21,838319.195,9669953.051,0,0,0,0,0,0,NA,NA,NA,NA
487,DUCKE,CT-MAS-3-22,840331.083,9670306.113,0,1,0,0,0,0,NA,NA,NA,NA
488,DUCKE,CT-MAS-3-23,842347.226,9670572.801,0,0,0,0,0,0,NA,NA,NA,NA
489,DUCKE,CT-MAS-3-24,844264.591,9670920.55,0,0,0,0,0,0,NA,NA,NA,NA
490,DUCKE,CT-MAS-3-25,841479.25,9669399.661,0,0,0,0,0,0,NA,NA,NA,NA
491,DUCKE,CT-MAS-3-26,843469.89,9669696.276,0,0,0,0,0,0,NA,NA,NA,NA
492,DUCKE,CT-MAS-3-27,845389.591,9670079.414,0,0,0,0,0,0,NA,NA,NA,NA
493,DUCKE,CT-MAS-3-28,840703.904,9668317.041,0,0,0,0,0,0,NA,NA,NA,NA
494,DUCKE,CT-MAS-3-29,842581,9668612.861,0,0,0,0,0,0,NA,NA,NA,NA
495,DUCKE,CT-MAS-3-3,840912.253,9676453.466,0,0,0,0,0,0,NA,NA,NA,NA
496,DUCKE,CT-MAS-3-30,844609.385,9668872.812,0,0,0,0,0,0,NA,NA,NA,NA
497,DUCKE,CT-MAS-3-4,838117.072,9674972.291,0,0,0,0,0,0,NA,NA,NA,NA
498,DUCKE,CT-MAS-3-5,840025.375,9675271.485,0,0,0,0,0,0,NA,NA,NA,NA
499,DUCKE,CT-MAS-3-6,837629.757,9673791.454,0,0,0,0,0,0,NA,NA,NA,NA
500,DUCKE,CT-MAS-3-7,839548.273,9674171.411,0,0,0,0,0,0,NA,NA,NA,NA
501,DUCKE,CT-MAS-3-8,841519.232,9674585.522,0,0,0,0,0,0,NA,NA,NA,NA
502,DUCKE,CT-MAS-3-9,843602.125,9674813.338,0,0,0,1,0,0,NA,NA,NA,NA
503,SBR,CT-POC-1-01,2363873.276,3552142.881,0,0,0,0,0,1,NA,NA,NA,NA
504,SBR,CT-POC-1-02,2364292.658,3553885.951,0,0,0,0,0,0,NA,NA,NA,NA
505,SBR,CT-POC-1-04,2365233.733,3555079.21,0,0,0,0,0,NA,NA,NA,NA,NA
506,SBR,CT-POC-1-05,2363519.582,3554366.334,0,0,0,0,0,0,NA,NA,NA,NA
507,SBR,CT-POC-1-06,2364516.508,3555527.967,0,0,0,0,0,0,0,NA,NA,NA
508,SBR,CT-POC-1-07,2364882.432,3557399.47,0,0,0,0,0,0,NA,NA,NA,NA
509,SBR,CT-POC-1-08,2363969.327,3556191.673,0,0,0,0,0,0,0,NA,NA,NA
510,SBR,CT-POC-1-10,2365264.266,3559092.947,0,0,1,0,0,0,0,NA,NA,NA
511,SBR,CT-POC-1-11,2366004.243,3558657.881,0,0,0,0,0,0,0,NA,NA,NA
512,SBR,CT-POC-1-12,2366966.431,3559774.43,0,0,1,1,0,0,0,NA,NA,NA
513,SBR,CT-POC-1-13,2366370.29,3560355.375,0,0,0,0,0,0,0,NA,NA,NA
514,SBR,CT-POC-1-14,2367959.515,3561030.651,0,0,0,0,0,0,0,NA,NA,NA
515,SBR,CT-POC-1-15,2367383.155,3561568.317,0,0,0,0,0,0,0,NA,NA,NA
516,SBR,CT-POC-1-16,2364679.843,3559758.805,0,0,0,0,0,0,NA,NA,NA,NA
517,SBR,CT-POC-1-18,2363589.459,3558556.97,0,0,0,0,0,0,NA,NA,NA,NA
518,SBR,CT-POC-1-19,2361508.519,3556158.348,0,0,0,0,0,0,NA,NA,NA,NA
519,SBR,CT-POC-1-20,2362214.782,3555514.511,0,0,0,0,0,0,NA,NA,NA,NA
