kamera,region,dist_fluss,seehoehe,x,y
CT-MA-2-19,ZF2,2112.077663,92.06019656,-60.21194,-2.64404
CT-MA-2-20,ZF2,2257.314037,68.14851485,-60.20311,-2.63505
CT-MA-2-21,ZF2,2140.041459,92.33333333,-60.19433,-2.62618
CT-MA-2-22,ZF2,2092.786442,78.82142857,-60.18522,-2.63547
CT-MA-2-23,ZF2,3719.73326,73.22386224,-60.2298,-2.64409
CT-MA-2-24,ZF2,2872.15227,59.2850062,-60.22086,-2.63512
CT-MA-2-25,ZF2,2193.475529,93.88833747,-60.21204,-2.62623
CT-MA-2-26,ZF2,1114.958283,106.6527094,-60.20322,-2.6173
CT-MA-2-27,ZF2,906.6142211,89.45812808,-60.23867,-2.61735
CT-MA-2-28,ZF2,1912.765037,71.33538084,-60.22972,-2.62626
CT-MA-2-29,ZF2,929.9200826,93.23143564,-60.22096,-2.61732
CT-MA-2-30,ZF2,0,69.63647491,-60.22987,-2.60838
CT-MAS-3-01,DUCKE,2657.591485,96.84099379,-59.96955,-2.92777
CT-MAS-3-02,DUCKE,1151.039325,117.9678616,-59.95146,-2.92527
CT-MAS-3-03,DUCKE,0,97.59852217,-59.93381,-2.92299
CT-MAS-3-04,DUCKE,1140.643556,99.11990111,-59.95889,-2.93644
CT-MAS-3-05,DUCKE,0,87.62762022,-59.94175,-2.93369
CT-MAS-3-06,DUCKE,531.7631397,84.47730061,-59.96324,-2.94712
CT-MAS-3-07,DUCKE,0,74.68232386,-59.94601,-2.94364
CT-MAS-3-08,DUCKE,847.7113355,101.8498759,-59.92831,-2.93985
CT-MAS-3-09,DUCKE,300.5101361,85.81773399,-59.9096,-2.93774
CT-MAS-3-10,DUCKE,0,80.11742892,-59.95246,-2.95231
CT-MAS-3-11,DUCKE,816.8149105,115.3201483,-59.93436,-2.94894
CT-MAS-3-12,DUCKE,490.9443166,106.5006196,-59.91659,-2.94781
CT-MAS-3-13,DUCKE,312.4018522,80.73703704,-59.95863,-2.96321
CT-MAS-3-14,DUCKE,1038.567805,92.81683168,-59.94164,-2.96125
CT-MAS-3-15,DUCKE,177.3703377,98.83847102,-59.92395,-2.95771
CT-MAS-3-16,DUCKE,0,93.78888889,-59.90645,-2.95482
CT-MAS-3-17,DUCKE,1406.099923,79.73185732,-59.9484,-2.97117
CT-MAS-3-18,DUCKE,0,111.1127633,-59.93103,-2.96756
CT-MAS-3-19,DUCKE,160.6370445,99.35315985,-59.91375,-2.9656
CT-MAS-3-20,DUCKE,0,83.57055215,-59.89573,-2.96248
CT-MAS-3-21,DUCKE,2311.061398,76.70797546,-59.95695,-2.98178
CT-MAS-3-22,DUCKE,739.7064609,100.4404908,-59.93888,-2.97854
CT-MAS-3-23,DUCKE,688.5728757,101.5153752,-59.92077,-2.97608
CT-MAS-3-24,DUCKE,430.7843029,105.0331695,-59.90355,-2.97289
CT-MAS-3-25,DUCKE,1335.371361,80.68796069,-59.92854,-2.9867
CT-MAS-3-26,DUCKE,1553.334762,94.58395062,-59.91066,-2.98397
CT-MAS-3-27,DUCKE,1770.465452,92.63411619,-59.89342,-2.98046
CT-MAS-3-28,DUCKE,1516.464191,94.17076326,-59.93548,-2.9965
CT-MAS-3-29,DUCKE,888.9409622,106.5522755,-59.91862,-2.99378
CT-MAS-3-30,DUCKE,941.6054344,82.12871287,-59.9004,-2.99138
CT-POC-1-01,SBR,1558.951668,241.3395291,-56.63144,-9.101616
CT-POC-1-02,SBR,1734.445274,222.6069652,-56.61864,-9.089725
CT-POC-1-04,SBR,1041.819359,222.2946979,-56.60645,-9.088802
CT-POC-1-05,SBR,529.7432527,220.4660074,-56.61977,-9.076646
CT-POC-1-06,SBR,1430.084675,229.9651308,-56.60748,-9.076644
CT-POC-1-07,SBR,1039.460261,201.5578818,-56.59418,-9.062968
CT-POC-1-08,SBR,970.5478801,224.9777228,-56.60631,-9.064327
CT-POC-1-10,SBR,0,180.1488315,-56.58188,-9.051162
CT-POC-1-11,SBR,158.4560737,183.2938272,-56.58065,-9.06343
CT-POC-1-12,SBR,162.600026,178.9777503,-56.56882,-9.063473
CT-POC-1-13,SBR,51.74037369,210.7579853,-56.56841,-9.051416
CT-POC-1-14,SBR,638.0182393,186.2453761,-56.55598,-9.062535
CT-POC-1-15,SBR,0,188.2220859,-56.55573,-9.05111
CT-POC-1-16,SBR,537.4728487,211.3193588,-56.58089,-9.038427
CT-POC-1-18,SBR,0,178.5691158,-56.59391,-9.037765
CT-POC-1-19,SBR,49.91713509,172.3765432,-56.6194,-9.037489
CT-POC-1-20,SBR,0,189.3492647,-56.61962,-9.051377
CT-POC-1-21,SBR,0,172.7787392,-56.63131,-9.039589
CT-POC-1-22,SBR,0,181.6098765,-56.530326,-9.063352
CT-POC-1-23,SBR,176.6285822,195.0209877,-56.53129,-9.050933
CT-POC-1-26,SBR,1130.397605,219.9677419,-56.51809,-9.075579
CT-POC-1-27,SBR,0,182.0674847,-56.53072,-9.076106
CT-POC-1-29,SBR,436.2361986,194.8039216,-56.59379,-9.051375
CT-TDM-1-06,TMES,176.1729915,163.578492,-53.594337,-4.634301
